iter	Passed	Remaining
857	8603	1423
858	8613	1413
859	8624	1403
860	8633	1393
861	8643	1383
862	8653	1373
863	8663	1363
864	8674	1353
865	8684	1343
866	8693	1333
867	8703	1323
868	8713	1313
869	8723	1303
870	8734	1293
871	8743	1283
872	8753	1273
873	8763	1263
874	8773	1253
875	8783	1243
876	8793	1233
877	8803	1223
878	8812	1213
879	8822	1203
880	8832	1193
881	8842	1182
882	8852	1172
883	8861	1162
884	8871	1152
885	8880	1142
886	8890	1132
887	8900	1122
888	8910	1112
889	8920	1102
890	8930	1092
891	8939	1082
892	8949	1072
893	8959	1062
894	8969	1052
895	8978	1042
896	8989	1032
897	8999	1022
898	9009	1012
899	9019	1002
900	9028	992
901	9038	981
902	9048	972
903	9059	962
904	9069	952
905	9078	941
906	9088	931
907	9099	921
908	9108	911
909	9118	901
910	9128	891
911	9138	881
912	9148	871
913	9158	861
914	9168	851
915	9177	841
916	9187	831
917	9197	821
918	9207	811
919	9217	801
920	9227	791
921	9237	781
922	9248	771
923	9257	761
924	9267	751
925	9277	741
926	9288	731
927	9299	721
928	9309	711
929	9319	701
930	9330	691
931	9339	681
932	9349	671
933	9359	661
934	9369	651
935	9379	641
936	9389	631
937	9399	621
938	9408	611
939	9418	601
940	9428	591
941	9438	581
942	9449	571
943	9459	561
944	9470	551
945	9481	541
946	9490	531
947	9500	521
948	9510	511
949	9520	501
950	9531	491
951	9540	481
952	9550	471
953	9559	460
954	9570	450
955	9582	441
956	9592	431
957	9603	421
958	9613	411
959	9623	400
960	9633	390
961	9643	380
962	9653	370
963	9663	360
964	9673	350
965	9683	340
966	9692	330
967	9702	320
968	9712	310
969	9721	300
970	9732	290
971	9741	280
972	9751	270
973	9762	260
974	9772	250
975	9782	240
976	9791	230
977	9802	220
978	9812	210
979	9821	200
980	9832	190
981	9841	180
982	9853	170
983	9863	160
984	9873	150
985	9884	140
986	9894	130
987	9904	120
988	9914	110
989	9923	100
990	9933	90
991	9943	80
992	9952	70
993	9963	60
994	9972	50
995	9983	40
996	9993	30
997	10002	20
998	10013	10
999	10023	0
